CON_UID,CLM_DESCRIPTION,CON_ISSUE_DATE,CON_IS_ON_ADMIN_HOLD,CON_IS_VOID,CON_IS_WARNING,CON_GPS_LATITUDE,CON_GPS_LONGITUDE
116672,15 MIN TIMED PAK MAIL CROSBY,4/7/2015 22:22,0,0,1,,
117282,15 MIN TIMED PAK MAIL CROSBY,4/8/2015 22:11,0,0,0,,
117283,15 MIN TIMED PAK MAIL CROSBY,4/8/2015 22:12,0,0,0,,
76951,15 MINUTE FORD CENTER,8/5/2014 1:00,0,0,0,,
80695,15 MINUTE FORD CENTER,9/8/2014 8:25,0,0,0,,
175349,15 MINUTE FORD CENTER,2/16/2016 9:25,0,0,1,34.3666928,-89.540696
175351,15 MINUTE FORD CENTER,2/16/2016 10:20,0,0,1,34.3666928,-89.540696
181243,15 MINUTE FORD CENTER,3/11/2016 8:50,0,0,1,34.3669099,-89.540733
205122,15 MINUTE FORD CENTER,8/10/2016 8:18,0,0,1,34.3669096,-89.540659
205422,15 MINUTE FORD CENTER,8/11/2016 16:17,0,0,0,,
205423,15 MINUTE FORD CENTER,8/11/2016 16:18,0,0,0,,
255637,15 MINUTE FORD CENTER,6/26/2017 14:46,0,0,0,0,0
76970,30 MIN LOAD/UNLOAD MARTIN,8/12/2014 11:56,0,0,1,,
76971,30 MIN LOAD/UNLOAD MARTIN,8/12/2014 15:43,0,0,0,,
93939,30 MIN LOAD/UNLOAD MARTIN,11/6/2014 9:35,0,0,0,,
93940,30 MIN LOAD/UNLOAD MARTIN,11/6/2014 9:36,0,0,0,,
93877,30 MIN LOAD/UNLOAD MARTIN,11/7/2014 9:29,0,0,0,,
